"startday","weather","humidity","temperatureMax","temperatureMin","windspeed"
"2013-05-01","PARTLY_CLOUDY_DAY","0.53","77.06","63.32","7.05"
"2013-05-02","WIND","0.72","62.29","42.55","15.34"
"2013-05-03","PARTLY_CLOUDY_DAY","0.89","47","40.01","12.37"
"2013-05-04","CLEAR_DAY","0.65","62.9","47.2","5.62"
"2013-05-05","CLEAR_DAY","0.6","58","48.48","8.86"
"2013-05-06","PARTLY_CLOUDY_NIGHT","0.51","59.06","50.62","7.81"
"2013-05-07","CLEAR_DAY","0.51","62.68","50.01","5.31"
"2013-05-08","CLEAR_DAY","0.54","64.51","50.48","2.6"
"2013-05-09","RAIN","0.68","68.01","49.23","2.14"
"2013-05-10","WIND","0.9","49.13","42.8","12.18"
"2013-05-11","PARTLY_CLOUDY_DAY","0.68","57.75","44.71","6.48"
"2013-05-12","PARTLY_CLOUDY_DAY","0.52","47.42","40.51","5.03"
"2013-05-13","PARTLY_CLOUDY_NIGHT","0.52","52.45","40.34","4.81"
"2013-05-14","WIND","0.44","81.7","52.9","7.66"
"2013-05-15","CLEAR_DAY","0.44","78.49","60.79","2.8"
"2013-05-16","CLEAR_DAY","0.52","73.42","54.9","2.83"
"2013-05-17","PARTLY_CLOUDY_DAY","0.6","63.77","55.2","4.3"
"2013-05-18","PARTLY_CLOUDY_NIGHT","0.68","67.92","55.47","3.6"
"2013-05-19","CLEAR_DAY","0.65","75.92","59.12","4.27"
"2013-05-20","RAIN","0.55","88.02","70.43","12.88"
"2013-05-21","RAIN","0.73","79.66","64.47","11.3"
"2013-05-22","RAIN","0.8","70.73","57.01","4.22"
"2013-05-23","WIND","0.8","54.27","42.88","18.35"
"2013-05-24","CLEAR_DAY","0.59","50.26","41.47","10.53"
"2013-05-25","PARTLY_CLOUDY_DAY","0.64","52.35","44.25","4.96"
"2013-05-26","PARTLY_CLOUDY_DAY","0.65","61.17","46.5","3.77"
"2013-05-27","RAIN","0.87","57.66","54.04","7.9"
"2013-05-28","RAIN","0.85","75.22","55.6","9.28"
